CÓDIGO;ESCUELA;REGIONAL;DISTRITO;CORREGIMIENTO;LATITUD;LONGITUD;NIVEL ESCOLAR;MATRÍCULA;ENERGIA;ACCESO;Director;Telefono;Regional Meduca;Telefono2;Categoría Implementación;IP WAN (mikrotik);IP LAN;Firewall;Gabinete 9U;PATCHPANEL;MANEJADOR DE CABLE;Bandeja;PDU;UPS;UPS SNMP Card;RT Mikrotik Tipo A (negro);RT Mikrotik Tipo B (blanco);AP INDOOR;AP OUTDOOR;Power Inyector ;Kit Starlink;Base Starlink;Gabinete 42U;Fotovoltaico;Bodega;Instalacion;Fecha final;COMENTARIOS;Configurado x Liberty
2209;ESC. SAN VICENTE;DARIÉN;PINOGANA;METETÍ;8.566088900;-78.03215220;Primaria;98;SI;TERRESTRE;Edamia Cárdenas;65203171;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.168/30;172.17.13.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2229;ESC. ANAYANSI;DARIÉN;PINOGANA;METETÍ;8.544331120;-78.00689230;Primaria;106;SI;TERRESTRE;Maria Petra Higuera;64518278;LORENZO SOTO;69378679;Fibra Activa CWP;10.80.102.164/30;172.17.181.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2230;ESC. SANTA LIBRADA;DARIÉN;PINOGANA;YAVIZA;8.279250540;-77.81330410;Primaria;237;SI;TERRESTRE;Carlos Higuera ;66575700;LORENZO SOTO;69378679;Construcción OE;10.80.89.172/30;172.17.77.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2231;ESC. CANGLON;DARIÉN;PINOGANA;METETÍ;8.341750300;-77.82858190;Primaria;137;SI;TERRESTRE;Henry Códoba;63347152;LORENZO SOTO;69378679;Construcción OE;10.80.89.176/30;172.17.77.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2234;ESC. NICANOR;DARIÉN;PINOGANA;METETÍ;8.552314670;-78.03595270;Primaria;17;SI;TERRESTRE;Maria Bethancuort;64727094;LORENZO SOTO;69378679;Drop CWP;10.60.61.224/30;172.16.31.0/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;SI
2241;ESC. SANSON ABAJO;DARIÉN;PINOGANA;METETÍ;8.425916580;-77.82913740;Primaria;30;NO;TERRESTRE;Eric Yoel Canchupi;66315881;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.172/30;172.17.13.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Enero 2026;;NO
2242;ESC. SANSONCITO;DARIÉN;PINOGANA;METETÍ;8.439249930;-77.91247080;Primaria;21;SI;TERRESTRE;Tomas rosero;68595692;LORENZO SOTO;69378679;Construcción OE;10.80.89.180/30;172.17.77.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2250;C.E.B.G. JOSE DEL C. MEJIA;DARIÉN;PINOGANA;YAVIZA;8.160639880;-77.69219310;Basica General;1082;SI;TERRESTRE;Bolivar Cañizales Blanco;69681776;LORENZO SOTO;69378679;Fibra Activa CWP;10.80.102.168/30;172.17.181.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Juan Diaz;;Diciembre;;NO
2251;ESC. LA PEÑITA;DARIÉN;PINOGANA;METETÍ;8.364805710;-77.79663740;Primaria;19;SI;TERRESTRE;Maribel Pascual;69692410;LORENZO SOTO;69378679;Construcción OE;10.80.89.184/30;172.17.77.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Enero 2026;;NO
2254;ESC. QUEBRADA FELIX;DARIÉN;PINOGANA;METETÍ;8.373694580;-77.84469300;Primaria;25;SI;TERRESTRE;Eyda Guerra;65633102;LORENZO SOTO;69378679;Construcción OE;10.80.89.188/30;172.17.77.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2255;ESC. PUNULOSO;DARIÉN;PINOGANA;METETÍ;8.527860690;-77.98635970;Primaria;131;SI;TERRESTRE;Jorge Pineda;69593047;LORENZO SOTO;69378679;Drop CWP;10.60.61.228/30;172.16.31.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;SI
2256;ESC. PORTUCHADA;DARIÉN;PINOGANA;METETÍ;8.468138720;-77.94274860;Primaria;360;SI;TERRESTRE;Alexis Bernal;61031915;LORENZO SOTO;69378679;Construcción OE;10.80.89.192/30;172.17.78.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Enero 2026;;NO
2261;ESC. NUEVO PROGRESO;DARIÉN;PINOGANA;YAVIZA;8.242583970;-77.77358190;Primaria;83;SI;TERRESTRE;Marcos A. Escobar B.;67935741;LORENZO SOTO;69378679;Construcción OE;10.80.89.196/30;172.17.78.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2271;C.E.B.G. NUEVO VIGIA;COMARCA EMBERÁ;CÉMACO;LAJAS BLANCAS;8.381194550;-77.76330410;Basica General;188;SI;TERRESTRE;Nelson Guainora;61988780;EDGAR TOCAMO;68242315;Construcción OE;10.80.89.200/30;172.17.78.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Febrero 2026;;SI
2275;ESC. LAJAS BLANCAS;COMARCA EMBERÁ;CÉMACO;LAJAS BLANCAS;8.417305610;-77.80997080;Primaria;395;SI;TERRESTRE;Degaiza Castillo;67140668;EDGAR TOCAMO;68242315;Construcción OE;10.80.89.204/30;172.17.78.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Febrero 2026;;SI
2277;ESC. EL SALTO DEL CHUCUNAQUE;COMARCA EMBERÁ;CÉMACO;LAJAS BLANCAS;8.313417110;-77.76302630;Primaria;212;SI;TERRESTRE;Ricardo Coronado;66916722;EDGAR TOCAMO;68242315;Construcción OE;10.80.89.208/30;172.17.78.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Febrero 2026;;SI
2305;ESC. AGUA FRIA Nº 1;DARIÉN;SANTA FE;AGUA FRÍA;8.857734010;-78.19665750;Primaria;140;SI;TERRESTRE;Cecilia Pinzón De Atencio;66517772;LORENZO SOTO;69378679;Fibra Activa CWP;10.80.102.172/30;172.17.181.96/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2307;C.E.B.G. EUGENIO PEREZ A.;DARIÉN;CHEPIGANA;LA PALMA;8.402144250;-78.14105290;Basica General;716;SI;TERRESTRE;AdamisRobira;67767080;LORENZO SOTO;69378679;Fibra Activa CWP;10.80.102.176/30;172.17.181.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2316;C.E.B.G. EMBERA PURU;DARIÉN;CHEPIGANA;LA PALMA;8.758993560;-78.17131050;Basica General;22;SI;TERRESTRE;Teofilo Miranda;65838830;LORENZO SOTO;69378679;Construcción OE;10.80.89.212/30;172.17.78.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;SI
2328;I.P.T. ALEJANDRO CASTILLO;DARIÉN;CHEPIGANA;LA PALMA;8.402082780;-78.14098140;Prof. Y Tecnica;192;SI;TERRESTRE;Reynaldo Lino;67862271;LORENZO SOTO;69378679;Fibra Activa CWP;10.80.96.148/30;172.17.132.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2330;P.C. ZAPALLAL;DARIÉN;SANTA FE;ZAPALLAL;8.650469820;-78.13225380;Premedia;676;SI;TERRESTRE;Nora Elena Blanco;69808903;LORENZO SOTO;69378679;Drop CWP;10.60.62.240/30;172.16.39.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;SI
2345;ESC. ALTOS DE BUENOS AIRES;DARIÉN;PINOGANA;METETÍ;8.529249590;-77.95580420;Primaria;54;SI;TERRESTRE;Elsy Ureña;69431519;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.176/30;172.17.13.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2348;ESC. QUEBRADA HONDA;DARIÉN;SANTA FE;SANTA FE;8.635226540;-78.11256990;Primaria;39;SI;TERRESTRE;Elizabeth Nieto;69307476;LORENZO SOTO;69378679;Fibra Activa CWP;10.80.102.184/30;172.17.181.192/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2349;ESC. GERARDO BACORIZO DOGI- RAMA;DARIÉN;SANTA FE;SANTA FE;8.691444660;-78.14269960;Primaria;215;SI;TERRESTRE;Marcelino Ortega;68485730;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.180/30;172.17.13.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2366;ESC. ZAPALLAL;DARIÉN;SANTA FE;ZAPALLAL;8.64958309;-78.1268058;Primaria;359;SI;TERRESTRE;Emiliana Ibarguen;65538816;LORENZO SOTO;69378679;Drop CWP;10.60.62.16/30;172.16.32.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;SI
2367;ESC. EL TIRADO;DARIÉN;SANTA FE;AGUA FRÍA;8.76535855;-78.1731331;Primaria;67;SI;TERRESTRE;Ruzena Meneses;68029626;LORENZO SOTO;69378679;Construcción OE;10.80.89.216/30;172.17.78.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Enero 2026;;NO
2370;ESC. SANTA FE;DARIÉN;SANTA FE;SANTA FE;8.65847911;-78.1554018;Primaria;977;SI;TERRESTRE;Jose Bazan;65217125;LORENZO SOTO;69378679;Drop CWP;10.60.66.136/30;172.16.68.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Juan Diaz;;Diciembre;;SI
2375;ESC. ALTO DEL CRISTO;DARIÉN;SANTA FE;SANTA FE;8.60764609;-78.0804996;Primaria;127;SI;TERRESTRE;Damaris Marín;63971908;LORENZO SOTO;69378679;Construcción OE;10.80.89.220/30;172.17.78.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2376;ESC. BOCA DE LARA;DARIÉN;SANTA FE;SANTA FE;8.61671353;-78.1453616;Primaria;171;SI;TERRESTRE;Andres Moreno;66645876;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.184/30;172.17.13.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2377;ESC. LA CANTERA;DARIÉN;SANTA FE;SANTA FE;8.6420366;-78.1706525;Primaria;243;SI;TERRESTRE;Gladys Batista;66638821;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.188/30;172.17.13.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Enero 2026;;NO
2378;I.P.T. AGUA FRIA;DARIÉN;SANTA FE;AGUA FRÍA;8.822494490;-78.18889460;Prof. Y Tecnica;387;SI;TERRESTRE;Concepción De León;63163873;LORENZO SOTO;69378679;Construcción OE;10.80.86.200/30;172.17.54.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2381;ESC. CHEPIGANA;DARIÉN;CHEPIGANA;CHEPIGANA;8.28499193;-78.0436191;Primaria;40;NO;MARÍTIMO;Edith Castillo;65022705;LORENZO SOTO;69378679;Construcción OE;10.80.89.228/30;172.17.79.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Enero 2026;;NO
2392;ESC. ALTOS DE JESUS;DARIÉN;CHEPIGANA;GARACHINÉ;8.00944;-78.25821;Primaria;7;NO;MARÍTIMO;Rogelio Jordan ;68413488;LORENZO SOTO;69378679;Construcción OE;10.80.89.232/30;172.17.79.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Enero 2026;;NO
2393;"C.E.B.G. JOSE DE LA
C. HERRERA";DARIÉN;CHEPIGANA;GARACHINÉ;8.066921510;-78.36611820;Prof. Y Tecnica;517;SI;TERRESTRE;Enietzel  Valdes;69160301;LORENZO SOTO;69378679;Construcción OE;10.80.94.252/30;172.17.119.224/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;SI
2432;ESC. LA MONEDA;DARIÉN;SANTA FE;RÍO IGLESIAS;8.58780147;-78.0563909;Primaria;14;SI;TERRESTRE;Jeremias Becheche;65758019;LORENZO SOTO;69378679;Construcción OE;10.80.89.240/30;172.17.79.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2434;ESC. RIO IGLESIA;DARIÉN;SANTA FE;RÍO IGLESIAS;8.39743578;-78.0103285;Primaria;102;SI;TERRESTRE;María Esther Ojo;63884549;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.192/30;172.17.14.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2435;ESC. ARRETI;DARIÉN;SANTA FE;RÍO IGLESIAS;8.544356060;-78.07982190;Primaria;56;SI;TERRESTRE;Yariela Lizbeth  Cerrud Pérez ;62203591;LORENZO SOTO;69378679;Construcción OE;10.80.89.244/30;172.17.79.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Diciembre;;SI
2436;ESC. BIJAGUAL;DARIÉN;SANTA FE;RÍO IGLESIAS;8.45100139;-78.0036719;Primaria;33;SI;TERRESTRE;Yaurisel Cortez;67466299;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.196/30;172.17.14.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Juan Diaz;;Diciembre;;NO
2462;ESC. PUEBLO NUEVO;DARIÉN;SANTA FE;SANTA FE;8.68402748;-78.1419257;Primaria;50;SI;TERRESTRE;Rafael Pereira;65515090;LORENZO SOTO;69378679;Construcción FTTH;10.80.81.200/30;172.17.14.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Juan Diaz;;Diciembre;;NO
2468;ESC. EVELIO D. CARRIZO;HERRERA;CHITRÉ;LLANO BONITO;7.97175166;-80.4291375;Primaria;731;SI;TERRESTRE;Rafael Montilla;64713251;MARIAS LUISA DIAZ;62441035;Drop CWP;10.60.63.144/30;172.16.44.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
2475;COL. JOSE D. CRESPO;HERRERA;CHITRÉ;CHITRÉ;7.960524000;-80.42161100;"Media Academic
a";1877;SI;TERRESTRE;Jesse Emerson Diez Girón;66888238;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.60.62.244/30;172.16.39.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;NO
2482;ESC. TOMAS HERRERA;HERRERA;CHITRÉ;CHITRÉ;7.96565022;-80.428897;Primaria;613;SI;TERRESTRE;Maritza E. Trejos A.;63138561;MARIAS LUISA DIAZ;62441035;Drop CWP;10.60.63.128/30;172.16.44.0/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
2483;ESC. JUAN T. DEL BUSTO;HERRERA;CHITRÉ;CHITRÉ;7.962307200;-80.43719300;Primaria;579;SI;TERRESTRE;Mayra Corrales;64498143;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.192/30;172.17.182.0/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2484;ESC. ENEIDA M. DE CASTILLERO;HERRERA;CHITRÉ;LLANO BONITO;7.976008030;-80.41883920;Primaria;312;SI;TERRESTRE;Manuel Saavedra;67029704;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.196/30;172.17.182.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2488;ESC. HIPOLITO PEREZ TELLO;HERRERA;CHITRÉ;SAN JUAN BAUTISTA;7.964282;-80.424482;Primaria;789;SI;TERRESTRE;Vielka Samaniego;66306762;MARIAS LUISA DIAZ;62441035;Drop CWP;10.60.63.132/30;172.16.44.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
2489;C.E.B.G. PRESIDENTE JOHN F. KENNEDY;HERRERA;CHITRÉ;LA ARENA;7.969152370;-80.46339430;Basica General;973;SI;TERRESTRE;Olivia Batista;63151251;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.200/30;172.17.182.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;NO
2492;ESC. BOCA DE PARITA;HERRERA;CHITRÉ;MONAGRILLO;8.012625220;-80.44848960;Primaria;161;SI;TERRESTRE;Argelis Batista;62026457;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.204/30;172.17.182.96/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2493;COL. PADRE SEGUNDO FAMILIAR CANO;HERRERA;CHITRÉ;MONAGRILLO;7.977067430;-80.43146730;"Media Academic
a";1693;SI;TERRESTRE;PEDRO SAEZ;65118371;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.60.63.172/30;172.16.45.96/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;NO
2496;ESC. SERGIO PEREZ DELGADO;HERRERA;CHITRÉ;MONAGRILLO;7.98020006;-80.4346441;Primaria;1032;SI;TERRESTRE;Martha Flores;66791501;MARIAS LUISA DIAZ;62441035;Drop CWP;10.60.65.224/30;172.16.63.0/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;SI
2498;ESC. GLORIELA N. BARRIA;HERRERA;LAS MINAS;LAS MINAS;7.799328690;-80.74721320;Primaria;173;SI;TERRESTRE;Rosalba Peña;64765876;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.212/30;172.17.182.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2499;ESC. CERRO GORDO;HERRERA;LAS MINAS;LAS MINAS;7.79024881;-80.69897;Primaria;7;SI;TERRESTRE;Aurelio Montilla;64753650;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.204/30;172.17.14.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2507;ESC. LOS PINTOS;HERRERA;LAS MINAS;LAS MINAS;7.77230787;-80.6988597;Primaria;34;SI;TERRESTRE;Cinthia Zambrano;68114716;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.208/30;172.17.14.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2508;ESC. LA CUCHILLA;HERRERA;LAS MINAS;LAS MINAS;7.8203633;-80.704693;Primaria;6;SI;TERRESTRE;Iris Rodríguez;69258384;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.89.248/30;172.17.79.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2515;C.E.B.G. DE CHEPO;HERRERA;LAS MINAS;CHEPO;7.73060902;-80.8269067;Basica General;146;SI;TERRESTRE;Pacífico Chávez;64674563;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.89.252/30;172.17.79.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
2518;ESC. EL CHUMICAL;HERRERA;LAS MINAS;CHUMICAL;7.84797975;-80.7359126;Primaria;64;SI;TERRESTRE;Avelina Banda;68252255;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.212/30;172.17.14.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
2522;ESC. EL TORO;HERRERA;LAS MINAS;EL TORO;7.75322908;-80.8690848;Primaria;38;SI;TERRESTRE;Darinel Pérez;69144430;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.90.0/30;172.17.80.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
2526;ESC. LA PEÑA;HERRERA;LAS MINAS;LEONES;7.75563219;-80.7895485;Primaria;4;SI;TERRESTRE;Manuel Guillén;76653629;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.90.4/30;172.17.80.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2527;ESC. LAS LAJAS;HERRERA;LAS MINAS;LEONES;7.7777023;-80.7707661;Primaria;4;SI;TERRESTRE;Mileinys Rivera;65381099;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.90.8/30;172.17.80.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2529;ESC. LOS HELECHA- LES;HERRERA;LAS MINAS;LEONES;7.8091597;-80.8014749;Primaria;7;SI;TERRESTRE;Marlenis López;64467728;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.90.12/30;172.17.80.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
2530;ESC. LEONES;HERRERA;LAS MINAS;LEONES;7.76981928;-80.8531716;Primaria;13;SI;TERRESTRE;Luz Pimentel;67421379;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.90.16/30;172.17.80.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2534;ESC. LA HUACA;HERRERA;LAS MINAS;QUEBRADA DEL ROSARIO;7.741985530;-80.76094530;Primaria;5;SI;TERRESTRE;Maura Rodríguez;68178321;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.216/30;172.17.182.192/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2535;ESC. EL COPE;HERRERA;LAS MINAS;QUEBRADA EL CIPRIÁN;7.69689189;-80.7322834;Primaria;6;SI;TERRESTRE;Oliver González;67679825;MARIAS LUISA DIAZ;62441035;Construcción OE;10.80.90.20/30;172.17.80.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2543;C.E.B.G. EL NANZAL;HERRERA;LAS MINAS;QUEBRADA DEL ROSARIO;7.743465410;-80.72408650;Basica General;42;SI;TERRESTRE;Yariveth Diaz;67862345;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.220/30;172.17.182.224/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2545;ESC. QUEBRADA DEL ROSARIO;HERRERA;LAS MINAS;QUEBRADA DEL ROSARIO;7.719569140;-80.73677990;Primaria;25;SI;TERRESTRE;Vielka Saavedra;64436594;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.224/30;172.17.183.0/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2547;C.E.B.G. LOS POZOS;HERRERA;LOS POZOS;LOS POZOS;7.781550270;-80.64644320;Basica General;406;SI;TERRESTRE;Adolfo Almendas;65616530;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.228/30;172.17.183.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2550;ESC. LAS CUESTAS;HERRERA;LOS POZOS;LOS POZOS;7.83036327;-80.6716374;Primaria;6;SI;TERRESTRE;Deisy Mela;64583972;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.216/30;172.17.14.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2551;ESC. FRANCISCO HENRIQUEZ;HERRERA;LOS POZOS;LOS POZOS;7.79053802;-80.6813113;Primaria;22;SI;TERRESTRE;Edelenys Ramos;66332907;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.220/30;172.17.14.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
2552;C.E.B.G. LUCIRIA DE PIMENTEL;HERRERA;LOS POZOS;LOS POZOS;7.787463550;-80.64641070;Basica General;258;SI;TERRESTRE;Xavier Martínez;63619071;MARIAS LUISA DIAZ;62441035;Fibra Activa CWP;10.80.102.232/30;172.17.183.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
2554;ESC. EL PIRO;HERRERA;LOS POZOS;LOS POZOS;7.7658356;-80.6314785;Primaria;9;SI;TERRESTRE;Lidia Mudarra;68368349;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.224/30;172.17.15.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
2555;ESC. BARRO BLANCO;HERRERA;LOS POZOS;LOS POZOS;7.80934975;-80.675134;Primaria;16;SI;TERRESTRE;Alexander Ramos;64426378;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.228/30;172.17.15.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
2558;ESC. LAS LAGUNITAS;HERRERA;LOS POZOS;CAPURÍ;7.73071882;-80.6700317;Primaria;11;SI;TERRESTRE;Evidelia V. de Guillen;65819261;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.232/30;172.17.15.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
2559;ESC. EL CAPURI;HERRERA;LOS POZOS;CAPURÍ;7.72646517;-80.6420104;Primaria;5;SI;TERRESTRE;Pedro Bósquez;69214025;MARIAS LUISA DIAZ;62441035;Construcción FTTH;10.80.81.236/30;172.17.15.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
